mac,ip,hostname,vendor,type,confidence,first_seen
dc:56:7b:1d:3f:99,192.168.0.41,nixos,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,Unknown/Mobile,0,2026-04-17T22:58:34.831835+00:00
c:56:7b:1d:3f:89, 192.168.0.40, Moto, OG,Unknown/Mobile,0,2026-04-17T22:58:34.831835+00:00
